AGGO       SOAM
AIRA       EURA
ALASKANO   NOAM
ALGOPARK   NOAM
ARECIBO    CARB
ASKAP-29   AUST
ASKAP-32   AUST
ATCA-100   AUST
ATCA-104   AUST
ATCA-109   AUST
ATCA-128   AUST
ATCAPN5    AUST
AUSTINTX   NOAM
AZORES     EURA
BADARY     EURA
BADRT13V   EURA
BEIJING    EURA
BERMUDA    NOAM
BLKBUTTE   NOAM
BLOOMIND   NOAM
BR-VLBA    NOAM
BREST      EURA
CAMBRIDG   EURA
CARNUSTY   EURA
CARROLGA   NOAM
CEBRER26   EURA
CEBREROS   EURA
CEDUNA     AUST
CHLBOLTN   EURA
CHICHI10   PHIL
CRIMEA     EURA
CTVASBAY   NOAM
CTVASTJ    NOAM
STJOHNS    NOAM
DAITO      PHIL
DARNHALL   EURA
DEADMANL   NOAM
DSS13      NOAM
DSS15      NOAM
DSS26      AUST
DSS34      AUST
DSS35      AUST
DSS36      AUST
DSS43      AUST
DSS45      AUST
DSS54      EURA
DSS56      EURA
DSS63      EURA
DSS65      EURA
DSS65A     EURA
EFLSBERG   EURA
ELY        NOAM
FD-VLBA    NOAM
FLAGSTAF   NOAM
FORT_ORD   PCFC
FORTLEZA   SOAM
FORTORDS   PCFC
FTD_7900   NOAM
GGAO7108   NOAM
GGAO12M    NOAM
GILCREEK   NOAM
GIFU3      EURA
GIFU11     EURA
GLT        NOAM
GOLDECHO   NOAM
GOLDMARS   NOAM
GOLDPION   NOAM
GOLDVENU   NOAM
GORF7102   NOAM
GORMAN     PCFC
GRASSE     EURA
HAERBIN    EURA
HALEAKAL   PCFC
HARTRAO    AFRC
HART15M    AFRC
HARTVGS    AFRC
HATCREEK   NOAM
HAYSTACK   NOAM
HN-VLBA    NOAM
HOBART12   AUST
HOBART26   AUST
HOFN       EURA
HOHENFRG   EURA
HOHNBERG   EURA
HRAS_085   NOAM
IRBENE16   EURA
IRBENE32   EURA
ISHIOKA    NOAM
JIAMIS66   EURA
JILIN12    EURA
JODRELL1   EURA
JODRELL2   EURA
JPL_MV1    PCFC
JPL_MV2    PCFC
JPL_MV3    PCFC
KAINAN     EURA
KALYAZIN   EURA
KANOZAN    NOAM
KARLBURG   EURA
KASHI12    EURA
KASHI35    EURA
KASHIM34   NOAM
KASHIMA    NOAM
KASHIM11   NOAM
KAUAI      PCFC
KATH12M    AUST
KIRSBERG   EURA
KITTPEAK   NOAM
KNOCKIN    EURA
KODIAK     NOAM
KOGANEI    NOAM
KOGANEI3   NOAM
KOKEE      PCFC
KOKEE12M   PCFC
KP-VLBA    NOAM
KUNMING    EURA
KVNTN      EURA
KVNUS      EURA
KVNYS      EURA
KWAJAL26   PCFC
LA-VLBA    NOAM
LAJOLLA    NOAM
LEFT85_1   NOAM
LEFTKOK    NOAM
LEONRDOK   NOAM
LMT        NOAM
MACGO12M   NOAM
MADRID64   EURA
MALIBU     PCFC
MAMMOTHL   NOAM
MARCUS     PCFC
MARCUS10   PCFC
MARPOINT   NOAM
MATERA     EURA
MATERA     EURA
MCD_7850   NOAM
MALARGUE   SOAM
MEDICINA   EURA
METSHOVI   EURA
METSAHOV   EURA
METSA13M   EURA
MIAMI20    NOAM
MILESMON   NOAM
MIURA      NOAM
MIYAZAKI   EURA
MIZNAO10   NOAM
MOPRA      AUST
MIZUSGSI   NOAM
MK-VLBA    PCFC
MOJ_7287   NOAM
MOJ_7288   NOAM
MOJAVE12   NOAM
MOJAVLBA   NOAM
MON_PEAK   PCFC
MV2ONSLA   EURA
NWNORCIA   AUST
NL-VLBA    NOAM
NOBEY_6M   NOAM
NOBEYA45   NOAM
NOBEYAMA   NOAM
NOME       NOAM
NOTO       AFRC
NOTOX      AFRC
NRAO_140   NOAM
NRAO20     NOAM
GBT-VLBA   NOAM
NRAO85_1   NOAM
NRAO85_3   NOAM
NRAO85_3   NOAM
NYALES20   EURA
NYALE13N   EURA
NYALE13S   EURA
OCOTILLO   PCFC
OHIGGINS   ANTA
ONSA13NE   EURA
ONSA13SW   EURA
ONSALA60   EURA
ONSALA85   EURA
OTAY       NOAM
OV-VLBA    NOAM
OVR_7853   NOAM
OVRO_130   NOAM
OVRO_90    NOAM
PARKES     AUST
PBLOSSOM   NOAM
PDBURE     EURA
PENTICTN   NOAM
PICKMERE   EURA
PICOVEL    EURA
PIETOWN    NOAM
PINFLATS   PCFC
PLATTVIL   NOAM
PRESIDIO   NOAM
PT_REYES   PCFC
PVERDES    PCFC
PUSCHINO   EURA
QUABBIN    NOAM
QUINCY     NOAM
RAEGSMAR   EURA
RAEGYEB    EURA
RICHMOND   NOAM
ROBLED32   EURA
SADDLEPK   PCFC
SAGARA     NOAM
SANFRANC   NOAM
SANPAULA   PCFC
SANTIA12   SOAM
SARDINIA   EURA
SC-VLBA    CARB
SEATTLE1   NOAM
SEJONG     EURA
SESHAN13   EURA
SESHAN25   EURA
SEST       SOAM
SHANGHAI   EURA
SINTOTU    NOAM
SINTOTU3   NOAM
SNDPOINT   NOAM
SOURDOGH   NOAM
SUWON      EURA
SVERT13V   EURA
SVETLOE    EURA
SYOWA      ANTA
TAHITI     PCFC
TAKAHAGI   NOAM
TATEYAMA   NOAM
TIARET     AFRC
TIANMA13   EURA
TIANMA65   EURA
TIDBIN64   AUST
TIGOWTZL   EURA
TIGOCONC   SOAM
TIGO-A     EURA
TITIJIMA   PHIL
TOMAKO11   NOAM
TOULOUSE   EURA
TORUN      EURA
TROMSONO   EURA
TRYSILNO   EURA
TSUKU3     NOAM
TSUKUBA    NOAM
TSUKUB32   NOAM
UCHINOUR   NOAM
URUMQI     EURA
URUMQI13   EURA
USSURISK   EURA
USUDA64    EURA
VACAVILL   NOAM
VANDENBG   PCFC
VERAMZSW   NOAM
VERAISGK   EURA
VERAIRIK   EURA
VERAOGSW   PHIL
VERNAL     NOAM
VICTORIA   NOAM
VLA        NOAM
VLA-N8     NOAM
VLBA85_3   NOAM
VNDNBERG   PCFC
WARK12M    AUST
WARK30M    AUST
WEEMAL26   AUST
WERTHOVN   EURA
WESTBRK0   EURA
WESTFORD   NOAM
WETTZ13N   EURA
WETTZ13S   EURA
WETTZELL   EURA
WHTHORSE   NOAM
WIDE85_3   NOAM
WSTRBORK   EURA
WSTRB-07   EURA
YAKATAGA   NOAM
YARRA12M   AUST
YEBES40M   EURA
YEBES14    EURA
YEBES      EURA
YELLOWKN   NOAM
YLOW7296   NOAM
YUMA       NOAM
ZELENCHK   EURA
ZELRT13V   EURA
TEST-001   EURA
TEST-002   AFRC
DUMMY      EURA
NGVLA_A0   NOAM
NGVLA_A1   NOAM
NGVLA_A2   NOAM
NGVLA_A3   NOAM
NGVLA_A4   NOAM
NGVLA_A5   NOAM
NGVLA_A6   NOAM
NGVLA_A7   NOAM
NGVLA_A8   NOAM
NGVLA_A9   NOAM
NGVLA_B0   NOAM
